region;kön;tabellinnehåll;år;Värde
Upplands-Bro;kvinnor;Antal;2022;1.61
Upplands-Bro;kvinnor;Antal;2023;1.76
Upplands-Bro;kvinnor;Antal;2024;1.66
Upplands-Bro;kvinnor;Antal;2025;1.83
Nykvarn;män;Antal;2000;2.02
Nykvarn;män;Antal;2001;1.52
Nykvarn;män;Antal;2002;1.86
Nykvarn;män;Antal;2003;1.54
Nykvarn;män;Antal;2004;1.8
Nykvarn;män;Antal;2005;1.8
Nykvarn;män;Antal;2006;2.15
Nykvarn;män;Antal;2007;1.82
Nykvarn;män;Antal;2008;1.92
Nykvarn;män;Antal;2009;2.39
Nykvarn;män;Antal;2010;2.49
Nykvarn;män;Antal;2011;2.09
Nykvarn;män;Antal;2012;1.54
Nykvarn;män;Antal;2013;1.98
Nykvarn;män;Antal;2014;1.72
Nykvarn;män;Antal;2015;1.87
Nykvarn;män;Antal;2016;2.06
Nykvarn;män;Antal;2017;1.74
Nykvarn;män;Antal;2018;1.86
Nykvarn;män;Antal;2019;1.58
Nykvarn;män;Antal;2020;1.5
Nykvarn;män;Antal;2021;1.88
Nykvarn;män;Antal;2022;1.52
Nykvarn;män;Antal;2023;1.31
Nykvarn;män;Antal;2024;1.38
Nykvarn;män;Antal;2025;1.67
Nykvarn;kvinnor;Antal;2000;2.22
Nykvarn;kvinnor;Antal;2001;1.55
Nykvarn;kvinnor;Antal;2002;1.98
Nykvarn;kvinnor;Antal;2003;1.56
